task_id,input_height,input_width,output_height,output_width,size_ratio,input_colors,output_colors,color_change,shape_change,grid_area,complexity_score,training_examples,pattern_type,confidence
f25fbde4,9,9,6,6,0.4444444444444444,2,2,False,True,81,1.76,3,extraction,0.85
f25ffba3,10,4,10,4,1.0,4,4,False,False,40,1.0,2,symmetry,0.6
f2829549,4,7,4,3,0.42857142857142855,4,2,True,True,28,0.78,5,extraction,0.85
f28a3cbb,9,9,9,9,1.0,3,3,False,False,81,1.78,2,symmetry,0.6
f341894c,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
f35d900a,17,16,17,16,1.0,3,4,True,False,272,5.66,4,mapping,0.9
f3b10344,30,30,30,30,1.0,3,4,True,False,900,18.2,3,mapping,0.9
f3cdc58f,10,10,10,10,1.0,5,5,False,False,100,2.26,3,symmetry,0.6
f3e14006,12,12,12,12,1.0,5,5,False,False,144,3.16,4,symmetry,0.6
f3e62deb,10,10,10,10,1.0,2,2,False,False,100,2.2,6,symmetry,0.6
f45f5ca7,10,10,10,10,1.0,5,5,False,False,100,2.26,3,symmetry,0.6
f5aa3634,15,13,3,3,0.046153846153846156,8,3,True,True,195,4.18,3,extraction,0.85
f5b8619d,6,6,12,12,4.0,2,3,True,True,36,0.88,3,tiling,0.9
f5c89df1,13,13,13,13,1.0,4,2,True,False,169,3.56,3,mapping,0.9
f76d97a5,5,5,5,5,1.0,2,2,True,False,25,0.64,3,mapping,0.9
f823c43c,12,12,12,12,1.0,3,2,True,False,144,3.02,2,mapping,0.9
f83cb3f6,12,14,12,14,1.0,3,3,False,False,168,3.54,3,symmetry,0.6
f8a8fe49,15,15,15,15,1.0,3,3,False,False,225,4.68,3,symmetry,0.6
f8b3ba0a,13,10,3,1,0.023076923076923078,5,3,True,True,130,2.84,4,extraction,0.85
f8be4b64,18,18,18,18,1.0,5,5,False,False,324,6.76,4,symmetry,0.6
f8c80d96,10,10,10,10,1.0,2,2,True,False,100,2.14,3,mapping,0.9
f8cc533f,19,19,19,19,1.0,5,5,False,False,361,7.48,3,symmetry,0.6
f8f52ecc,10,10,10,10,1.0,3,3,False,False,100,2.18,3,symmetry,0.6
f8ff0b80,12,12,3,1,0.020833333333333332,4,3,True,True,144,3.08,3,extraction,0.85
f9012d9b,4,4,1,1,0.0625,3,1,True,True,16,0.46,3,extraction,0.85
f9a67cb5,11,12,11,12,1.0,3,3,False,False,132,2.82,3,symmetry,0.6
f9d67f8b,30,30,30,30,1.0,9,8,True,False,900,18.42,4,mapping,0.9
fafd9572,10,12,10,12,1.0,5,4,True,False,120,2.62,2,mapping,0.9
fafffa47,6,3,3,3,0.5,3,2,True,True,18,0.56,5,extraction,0.85
fb791726,3,3,6,6,4.0,2,3,True,True,9,0.34,3,tiling,0.9
fbf15a0b,20,20,10,20,0.5,3,2,True,True,400,8.18,4,extraction,0.85
fc10701f,12,12,12,12,1.0,4,4,True,False,144,3.1,3,mapping,0.9
fc4aaf52,16,16,16,16,1.0,3,3,False,False,256,5.28,2,symmetry,0.6
fc754716,5,7,5,7,1.0,2,2,False,False,35,0.86,4,symmetry,0.6
fcb5c309,13,16,6,7,0.20192307692307693,3,2,True,True,208,4.32,3,extraction,0.85
fcc82909,10,10,10,10,1.0,6,7,True,False,100,2.32,3,mapping,0.9
fd02da9e,8,8,8,8,1.0,2,2,False,False,64,1.44,4,symmetry,0.6
fd096ab6,24,24,24,24,1.0,6,6,False,False,576,11.8,2,symmetry,0.6
fd4b2b02,16,16,16,16,1.0,2,3,True,False,256,5.28,3,mapping,0.9
fe45cba4,8,8,8,8,1.0,3,3,False,False,64,1.44,2,symmetry,0.6
fe9372f3,7,16,7,16,1.0,2,5,True,False,112,2.42,2,mapping,0.9
fea12743,16,11,16,11,1.0,2,4,True,False,176,3.7,3,mapping,0.9
feca6190,1,5,15,15,45.0,4,4,False,True,5,0.36,5,tiling,0.9
ff2825db,10,10,10,10,1.0,6,6,False,False,100,2.3,3,symmetry,0.6
ff28f65a,6,6,3,3,0.25,2,2,True,True,36,0.96,8,extraction,0.85
ff72ca3e,9,8,9,8,1.0,3,4,True,False,72,1.66,4,mapping,0.9
ff805c23,24,24,5,5,0.043402777777777776,5,2,True,True,576,11.72,3,extraction,0.85
